t,i1,q1,q2,i2,p
0,0,0,0,0,4096
1,0,0,0,0,4096
2,0,0,0,1077,4096
3,0,0,0,1509,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,4096
9,0,0,0,0,4096
10,0,0,0,0,4096
11,0,0,0,0,4096
12,0,0,0,0,4096
13,0,0,0,862,0
14,0,0,0,862,0
15,0,0,0,1724,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,4096
19,0,0,0,0,4096
20,0,0,0,0,4096
21,0,0,0,0,4096
22,0,0,0,0,4096
23,0,0,0,0,0
24,0,0,0,1077,0
25,0,0,0,1509,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,4096
29,0,0,0,0,4096
30,0,0,0,0,4096
31,0,0,0,0,4096
32,0,0,0,1077,4096
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,0,862,0
36,0,0,0,1293,0
37,0,0,0,0,0
38,0,0,0,0,4096
39,0,0,0,0,4096
40,0,0,0,0,4096
41,0,0,0,0,4096
42,0,0,0,0,4096
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,862,0
47,0,0,0,1509,4096
48,0,0,0,0,4096
49,0,0,0,0,4096
50,0,0,0,0,4096
51,0,0,0,0,4096
52,0,0,0,0,4096
53,0,0,0,0,0
54,0,0,0,0,0
55,0,0,0,0,0
56,0,0,0,862,0
57,0,0,0,0,0
58,0,0,0,0,4096
59,0,0,0,0,4096
60,0,0,0,0,4096
61,0,0,0,0,4096
62,0,0,0,0,4096
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,4096,0
66,0,0,0,1077,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,4096
70,0,0,0,0,4096
71,0,0,0,0,4096
72,0,0,0,0,4096
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,646,0
76,0,0,0,0,0
77,0,0,0,0,0
78,0,0,0,0,4096
79,0,0,0,0,4096
80,0,0,0,0,4096
81,0,0,0,0,4096
82,0,0,0,0,4096
83,0,0,0,0,0
84,0,0,0,0,0
85,0,0,0,1509,0
86,0,0,0,0,0
87,0,0,0,0,0
88,0,0,0,0,4096
89,0,0,0,0,4096
90,0,0,0,0,4096
91,0,0,0,0,4096
92,0,0,0,0,4096
93,0,0,0,0,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,646,0
97,0,0,0,0,0
98,0,0,0,0,4096
99,0,0,0,0,4096
100,0,0,0,0,4096
101,0,0,0,0,4096
102,0,0,0,0,4096
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,0,0,0,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,0,0,4096
110,0,0,0,0,4096
111,0,0,0,0,4096
112,0,0,0,0,4096
113,0,0,0,0,4096
114,0,0,0,0,0
115,0,0,0,0,0
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,4096
120,0,0,0,0,4096
121,0,0,0,0,4096
122,0,0,0,0,4096
123,0,0,0,0,4096
124,0,0,0,0,0
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,646,0
128,0,0,0,0,0
129,0,0,0,0,4096
130,0,0,0,0,4096
131,0,0,0,0,4096
132,0,0,0,0,4096
133,0,0,0,0,4096
134,0,0,0,0,0
135,0,0,0,0,0
136,0,0,0,0,0
137,0,0,0,2371,0
138,0,0,0,0,0
139,0,0,0,0,4096
140,0,0,0,0,4096
141,0,0,0,0,4096
142,0,0,0,0,4096
143,0,0,0,0,4096
144,0,0,0,0,0
145,0,0,0,0,0
146,0,0,0,0,0
147,0,0,0,0,0
148,0,0,0,0,0
149,0,0,0,0,4096
150,0,0,0,0,4096
151,0,0,0,0,4096
152,0,0,0,0,4096
153,0,0,0,0,4096
154,0,0,0,0,0
155,0,0,0,0,0
156,0,0,0,0,0
157,0,0,0,1077,0
158,0,0,0,0,0
159,0,0,0,0,4096
160,0,0,0,0,4096
161,0,0,0,0,4096
162,0,0,0,0,4096
163,0,0,0,0,4096
164,0,0,0,0,0
165,0,0,0,0,0
166,0,0,0,0,0
167,0,0,0,0,0
168,0,0,0,0,0
169,0,0,0,0,4096
170,0,0,0,0,4096
171,0,0,0,0,4096
172,0,0,0,0,4096
173,0,0,0,0,0
174,0,0,0,0,0
175,0,0,0,0,0
176,0,0,0,0,0
177,0,0,0,0,0
178,0,0,0,0,4096
179,0,0,0,0,4096
180,0,0,0,0,4096
181,0,0,0,0,4096
182,0,0,0,0,4096
183,0,0,0,0,4096
184,0,0,0,0,0
185,0,0,0,0,0
186,0,0,0,0,0
187,0,0,0,0,0
188,0,0,0,0,0
189,0,0,0,0,0
190,0,0,0,0,4096
191,0,0,0,0,4096
192,0,0,0,0,4096
193,0,0,0,0,4096
194,0,0,0,0,4096
195,0,0,0,0,0
196,0,0,0,0,0
197,0,0,0,0,0
198,0,0,0,0,0
199,0,0,0,0,4096
200,0,0,0,0,4096
201,0,0,0,0,4096
202,0,0,0,0,4096
203,0,0,0,0,4096
204,0,0,0,0,0
205,0,0,0,0,0
206,0,0,0,1724,0
207,0,0,0,0,0
208,0,0,0,0,0
209,0,0,0,0,4096
210,0,0,0,0,4096
211,0,0,0,0,4096
212,0,0,0,0,4096
213,0,0,0,0,4096
214,0,0,0,0,0
215,0,0,0,0,0
216,0,0,0,1293,0
217,0,0,0,0,0
218,0,0,0,0,0
219,0,0,0,0,4096
220,0,0,0,0,4096
221,0,0,0,0,4096
222,0,0,0,0,4096
223,0,0,0,0,4096
224,0,0,0,0,0
225,0,0,0,0,0
226,0,0,0,0,0
227,0,0,0,0,0
228,0,0,0,0,0
229,0,0,0,0,4096
230,0,0,0,0,4096
231,0,0,0,0,4096
232,0,0,0,0,4096
233,0,0,0,0,4096
234,0,0,0,0,0
235,0,0,0,0,0
236,0,0,0,0,0
237,0,0,0,0,0
238,0,0,0,0,0
239,0,0,0,0,4096
240,0,0,0,0,4096
241,0,0,0,0,4096
242,0,0,0,0,4096
243,0,0,0,0,0
244,0,0,0,0,0
245,0,0,0,0,0
246,0,0,0,0,0
247,0,0,0,0,0
248,0,0,0,1724,4096
249,0,0,0,1724,4096
250,0,0,0,0,4096
251,0,0,0,0,4096
252,0,0,0,0,4096
253,0,0,0,0,0
254,0,0,0,0,0
255,0,0,0,0,0
256,0,0,0,0,0
257,0,0,0,0,0
258,0,0,0,0,4096
259,0,0,0,0,4096
260,0,0,0,0,4096
261,0,0,0,0,4096
262,0,0,0,0,4096
263,0,0,0,0,0
264,0,0,0,0,0
265,0,0,0,0,0
266,0,0,0,0,0
267,0,0,0,0,0
268,0,0,0,0,4096
269,0,0,0,0,4096
270,0,0,0,0,4096
271,0,0,0,0,4096
272,0,0,0,0,4096
273,0,0,0,0,0
274,0,0,0,0,0
275,0,0,0,0,0
276,0,0,0,0,0
277,0,0,0,0,0
278,0,0,0,0,4096
279,0,0,0,0,4096
280,0,0,0,0,4096
281,0,0,0,0,4096
282,0,0,0,0,4096
283,0,0,0,0,4096
284,0,0,0,0,0
285,0,0,0,0,0
286,0,0,0,0,0
287,0,0,0,0,0
288,0,0,0,0,0
289,0,0,0,0,4096
290,0,0,0,0,4096
291,0,0,0,4096,4096
292,0,0,0,0,4096
293,0,0,0,0,4096
294,0,0,0,0,0
295,0,0,0,0,0
296,0,0,0,0,0
297,0,0,0,0,0
298,0,0,0,0,0
299,0,0,0,0,4096
300,0,0,0,0,4096
301,0,0,0,0,4096
302,0,0,0,0,4096
303,0,0,0,0,4096
304,0,0,0,0,0
305,0,0,0,0,0
306,0,0,0,0,0
307,0,0,0,0,0
308,0,0,0,0,0
309,0,0,0,0,4096
310,0,0,0,2457,4096
311,0,0,0,0,4096
312,0,0,0,0,4096
313,0,0,0,0,4096
314,0,0,0,0,0
315,0,0,0,0,0
316,0,0,0,0,0
317,0,0,0,0,0
318,0,0,0,0,0
319,0,0,0,0,4096
320,0,0,0,0,4096
321,0,0,0,0,4096
322,0,0,0,0,4096
323,0,0,0,0,4096
324,0,0,0,0,0
325,0,0,0,0,0
326,0,0,0,0,0
327,0,0,0,0,0
328,0,0,0,0,0
329,0,0,0,0,4096
330,0,0,0,0,4096
331,0,0,0,0,4096
332,0,0,0,0,4096
333,0,0,0,0,4096
334,0,0,0,0,0
335,0,0,0,0,0
336,0,0,0,0,0
337,0,0,0,0,0
338,0,0,0,0,0
339,0,0,0,0,4096
340,0,0,0,0,4096
341,0,0,0,0,4096
342,0,0,0,0,4096
343,0,0,0,0,4096
344,0,0,0,0,0
345,0,0,0,0,0
346,0,0,0,0,0
347,0,0,0,0,0
348,0,0,0,0,0
349,0,0,0,0,4096
350,0,0,0,0,4096
351,0,0,0,0,4096
352,0,0,0,0,4096
353,0,0,0,0,0
354,0,0,0,0,0
355,0,0,0,0,0
356,0,0,0,0,0
357,0,0,0,0,0
358,0,0,0,0,0
359,0,0,0,0,4096
360,0,0,0,0,4096
361,0,0,0,0,4096
362,0,0,0,0,4096
363,0,0,0,0,4096
364,0,0,0,0,0
365,0,0,0,0,0
366,0,0,0,0,0
367,0,0,0,0,0
368,0,0,0,0,0
369,0,0,0,0,4096
370,0,0,0,3276,4096
371,0,0,0,0,4096
372,0,0,0,0,4096
373,0,0,0,0,4096
374,0,0,0,0,4096
375,0,0,0,0,0
376,0,0,0,0,0
377,0,0,0,0,0
378,0,0,0,0,0
379,0,0,0,0,0
380,0,0,0,0,4096
381,0,0,0,0,4096
382,0,0,0,0,4096
383,0,0,0,0,4096
384,0,0,0,0,4096
385,0,0,0,0,0
386,0,0,0,0,0
387,0,0,0,0,0
388,0,0,0,0,0
389,0,0,0,0,0
390,0,0,0,0,4096
391,0,0,0,0,4096
392,0,0,0,0,4096
393,0,0,0,0,4096
394,0,0,0,0,4096
395,0,0,0,0,0
396,0,0,0,0,0
397,0,0,0,0,0
398,0,0,0,0,0
399,0,0,0,0,0
400,0,0,0,0,4096
401,0,0,0,0,4096
402,0,0,0,0,4096
403,0,0,0,0,4096
404,0,0,0,0,4096
405,0,0,0,0,0
406,0,0,0,0,0
407,0,0,0,0,0
408,0,0,0,0,0
409,0,0,0,0,4096
410,0,0,0,0,4096
411,0,0,0,0,4096
412,0,0,0,0,4096
413,0,0,0,0,4096
414,0,0,0,0,4096
415,0,0,0,0,0
416,0,0,0,0,0
417,0,0,0,0,0
418,0,0,0,0,0
419,0,0,0,0,0
420,0,0,0,0,4096
421,0,0,0,0,4096
422,0,0,0,0,4096
423,0,0,0,0,0
424,0,0,0,0,0
425,0,0,0,0,0
426,0,0,0,0,0
427,0,0,0,0,0
428,0,0,0,0,0
429,0,0,0,0,0
430,0,0,0,0,4096
431,0,0,0,0,4096
432,0,0,0,0,4096
433,0,0,0,0,4096
434,0,0,0,0,4096
435,0,0,0,0,0
436,0,0,0,0,0
437,0,0,0,0,0
438,0,0,0,0,0
439,0,0,0,0,0
440,0,0,0,0,4096
441,0,0,0,0,4096
442,0,0,0,0,4096
443,0,0,0,0,4096
444,0,0,0,0,4096
445,0,0,0,0,0
446,0,0,0,0,0
447,0,0,0,0,0
448,0,0,0,0,0
449,0,0,0,0,0
450,0,0,0,0,4096
451,0,0,0,0,4096
452,0,0,0,0,4096
453,0,0,0,0,4096
454,0,0,0,0,0
455,0,0,0,0,0
456,0,0,0,0,0
457,0,0,0,0,0
458,0,0,0,0,0
459,0,0,0,0,0
460,0,0,0,0,4096
461,0,0,0,0,4096
462,0,0,0,0,4096
463,0,0,0,0,4096
464,0,0,0,0,0
465,0,0,0,0,0
466,0,0,0,0,0
467,0,0,0,0,0
468,0,0,0,0,0
469,0,0,0,0,4096
470,0,0,0,0,4096
471,0,0,0,0,4096
472,0,0,0,0,4096
