t,i1,q1,q2,i2
0,1623,1608,1613,1622
1,1619,1595,1603,1613
2,1623,1607,1613,1621
3,1623,1593,1596,1610
4,1622,1603,1613,1621
5,1613,1597,1600,1610
6,1622,1608,1613,1623
7,1624,1603,1602,1613
8,1619,1608,1610,1622
9,1624,1603,1599,1611
10,1611,1607,1611,1624
11,1624,1608,1603,1608
12,1609,1603,1611,1624
13,1624,1607,1610,1610
14,1615,1597,1615,1622
15,1627,1603,1608,1610
16,1611,1595,1611,1619
17,1625,1609,1613,1613
18,1615,1592,1607,1611
19,1621,1599,1611,1615
20,1611,1588,1607,1622
21,1624,1607,1613,1621
22,1611,1596,1602,1621
23,1622,1607,1615,1624
24,1615,1595,1602,1618
25,1624,1608,1613,1613
26,1619,1592,1602,1619
27,1624,1607,1615,1622
28,1624,1595,1597,1611
29,1628,1602,1615,1624
30,1624,1596,1602,1611
31,1623,1607,1611,1624
32,1624,1599,1602,1613
33,1621,1602,1610,1624
34,1624,1603,1602,1615
35,1615,1607,1613,1624
36,1625,1597,1603,1607
37,1610,1602,1610,1623
38,1624,1602,1610,1611
39,1615,1596,1611,1621
40,1625,1603,1613,1613
41,1592,1588,1588,1607
42,1607,1595,1596,1598
43,1592,1583,1583,1598
44,1592,1585,1588,1595
45,1595,1582,1584,1588
46,1588,1582,1582,1588
47,1588,1582,1582,1584
48,1588,1580,1580,1588
49,1585,1575,1582,1590
50,1591,1582,1585,1595
51,1588,1584,1582,1592
52,1589,1589,1588,1596
53,1592,1583,1588,1595
54,1595,1588,1588,1595
55,1595,1583,1588,1592
56,1592,1577,1588,1589
57,1592,1582,1580,1585
58,1592,1582,1584,1592
59,1588,1582,1582,1593
60,1589,1582,1585,1597
61,1600,1595,1596,1609
62,1603,1595,1597,1607
63,1603,1596,1595,1607
64,1607,1597,1602,1611
65,1610,1598,1598,1603
66,1600,1597,1596,1610
67,1609,1597,1599,1607
68,1609,1596,1602,1610
69,1611,1598,1600,1607
70,1610,1597,1603,1610
71,1610,1600,1607,1607
72,1610,1596,1600,1610
73,1611,1600,1602,1609
74,1607,1590,1597,1610
75,1610,1597,1597,1603
76,1609,1592,1596,1607
77,1609,1598,1602,1610
78,1609,1596,1600,1611
79,1611,1599,1602,1609
80,1610,1596,1600,1610
81,1611,1597,1599,1611
82,1611,1596,1593,1602
83,1610,1596,1596,1610
84,1607,1595,1598,1609
85,1609,1597,1600,1608
86,1610,1596,1595,1609
87,1609,1595,1597,1609
88,1607,1596,1596,1603
89,1608,1592,1597,1602
90,1609,1593,1596,1602
91,1600,1596,1597,1608
92,1610,1595,1600,1609
93,1613,1595,1597,1609
94,1610,1596,1596,1610
95,1608,1595,1597,1610
96,1607,1595,1588,1603
97,1607,1592,1596,1609
98,1610,1592,1597,1608
99,1607,1588,1597,1607
100,1609,1590,1595,1603
101,1609,1595,1596,1607
102,1611,1596,1602,1617
103,1610,1592,1597,1611
104,1611,1596,1602,1603
105,1610,1582,1592,1607
106,1597,1580,1588,1607
107,1610,1585,1596,1603
108,1597,1575,1582,1600
109,1607,1584,1592,1602
110,1596,1569,1582,1607
111,1602,1580,1592,1600
112,1595,1568,1580,1600
113,1602,1565,1592,1602
114,1600,1569,1580,1596
115,1602,1559,1590,1602
116,1602,1559,1583,1593
117,1603,1538,1588,1597
118,1603,1518,1577,1588
119,1602,1499,1588,1602
120,1602,1498,1579,1592
121,1600,1508,1588,1603
122,1607,1533,1593,1607
123,1611,1549,1603,1622
124,1624,1557,1596,1610
125,1610,1541,1609,1622
126,1624,1533,1596,1602
127,1603,1504,1603,1621
128,1620,1509,1609,1610
129,1615,1518,1603,1615
130,1622,1516,1610,1611
131,1613,1509,1609,1620
132,1624,1511,1609,1615
133,1613,1506,1602,1621
134,1622,1499,1610,1622
135,1613,1497,1596,1624
136,1622,1511,1609,1613
137,1615,1514,1597,1623
138,1624,1506,1610,1624
139,1621,1492,1600,1619
140,1623,1494,1611,1624
141,1624,1498,1602,1615
142,1627,1504,1611,1621
143,1624,1492,1595,1609
144,1624,1460,1611,1624
145,1625,1442,1597,1611
146,1620,1416,1610,1624
147,1621,1427,1597,1613
148,1619,1419,1609,1624
149,1627,1393,1598,1615
150,1615,1366,1610,1624
151,1627,1352,1602,1610
152,1610,1326,1610,1622
153,1625,1312,1609,1610
154,1619,1275,1609,1620
155,1628,1289,1610,1613
156,1615,1300,1609,1623
157,1627,1313,1596,1619
158,1613,1305,1602,1623
159,1624,1292,1610,1622
160,1615,1278,1597,1622
161,1624,1257,1610,1623
162,1613,1220,1597,1623
163,1624,1223,1611,1624
164,1623,1232,1600,1619
165,1624,1241,1611,1624
166,1624,1237,1600,1615
167,1627,1223,1610,1623
168,1621,1209,1592,1610
169,1624,1192,1596,1609
170,1610,1202,1582,1597
171,1607,1189,1592,1610
172,1610,1179,1582,1598
173,1599,1162,1589,1607
174,1613,1170,1584,1598
175,1600,1173,1592,1608
176,1611,1162,1588,1595
177,1596,1183,1588,1599
178,1602,1429,1575,1488
179,1511,0,1385,1582
180,1613,0,1511,1607
181,1610,0,1596,1602
182,1609,67,1590,1598
183,1602,514,1595,1602
184,1600,1026,1592,1600
185,1595,1498,1588,1595
186,1593,1589,1588,1596
187,1592,1595,1589,1595
188,1592,1592,1588,1596
189,1592,1593,1590,1595
190,1591,1589,1588,1595
191,1588,1597,1588,1596
192,1592,1592,1583,1595
193,1589,1595,1584,1589
194,1595,1589,1592,1595
195,1595,1590,1590,1595
196,1595,1592,1589,1600
197,1592,1591,1588,1596
198,1595,1595,1595,1595
199,1589,1588,1588,1596
200,1589,1584,1582,1588
201,1585,1584,1582,1591
202,1584,1598,1593,1607
203,1600,1595,1588,1597
204,1593,1593,1591,1597
205,1600,1600,1596,1600
206,1596,1592,1584,1600
207,1600,1597,1588,1590
208,1582,1274,1462,1488
209,1496,0,1231,1547
210,1603,0,1259,1624
211,1627,0,1456,1622
212,1620,0,1598,1609
213,1620,0,1609,1618
214,1616,263,1597,1607
215,1615,723,1605,1621
216,1616,1186,1602,1610
217,1619,1585,1613,1616
218,1615,1598,1596,1602
219,1615,1597,1565,1490
220,1506,0,1143,1474
221,1494,0,548,1490
222,1506,0,0,1485
223,1508,0,0,1494
224,1512,0,0,1485
225,1504,0,0,1492
226,1519,0,0,1481
227,1497,0,0,1569
228,1628,0,0,1632
229,1644,0,174,1641
230,1652,0,531,1632
231,1635,0,852,1632
232,1640,0,1129,1627
233,1610,1595,1588,1603
234,1602,1595,1592,1602
235,1600,1584,1583,1595
236,1599,1592,1595,1602
237,1600,1582,1577,1591
238,1602,1590,1593,1602
239,1602,1584,1584,1592
240,1598,1592,1590,1603
241,1602,1588,1582,1595
242,1595,1595,1592,1603
243,1602,1592,1582,1595
244,1595,1592,1590,1600
245,1602,1593,1584,1588
246,1588,1592,1600,1619
247,1621,1609,1602,1607
248,1610,1602,1610,1619
249,1621,1603,1600,1603
250,1608,1597,1604,1615
251,1618,1609,1608,1610
252,1603,1593,1602,1619
253,1619,1609,1607,1610
254,1603,1589,1596,1616
255,1615,1603,1607,1615
256,1607,1597,1596,1615
257,1619,1609,1609,1615
258,1610,1596,1595,1619
259,1619,1609,1608,1609
260,1613,1596,1595,1613
261,1619,1608,1610,1619
262,1619,1595,1590,1608
263,1621,1607,1609,1619
264,1619,1596,1595,1608
265,1615,1604,1602,1619
266,1621,1602,1595,1608
267,1609,1602,1602,1615
268,1607,1311,1430,1500
269,1584,0,1276,1622
270,1623,0,1355,1602
271,1611,0,1460,1613
272,1611,2,1557,1611
273,1619,306,1607,1619
274,1621,658,1600,1610
275,1615,973,1602,1611
276,1613,1253,1600,1610
277,1609,1467,1595,1611
278,1610,1595,1596,1607
279,1602,1588,1595,1607
280,1608,1592,1588,1599
281,1602,1588,1595,1602
282,1608,1595,1596,1609
283,1603,1592,1593,1609
284,1603,1591,1593,1609
285,1603,1590,1595,1604
286,1607,1592,1595,1607
287,1603,1590,1584,1603
288,1610,1602,1610,1621
289,1621,1596,1596,1609
290,1619,1607,1609,1621
291,1611,1597,1595,1610
292,1611,1603,1603,1619
293,1621,1603,1595,1610
294,1610,1603,1603,1621
295,1619,1602,1596,1604
296,1600,1603,1603,1619
297,1596,1557,1488,1512
298,1504,0,1223,1494
299,1512,0,848,1499
300,1514,0,519,1487
301,1500,0,217,1501
302,1521,0,0,1499
303,1513,0,0,1506
304,1526,0,0,1498
305,1519,0,0,1499
306,1523,0,0,1506
307,1512,0,0,1511
308,1588,0,1,1616
309,1613,0,306,1613
310,1615,0,666,1609
311,1610,0,871,1494
312,1486,0,476,1460
313,1494,0,0,1445
314,1498,0,0,1431
315,1494,0,0,1415
316,1499,0,0,1406
317,1518,0,0,1382
318,1506,0,0,1382
319,1524,0,0,1478
320,1652,0,0,1646
321,1643,0,294,1632
322,1638,0,658,1640
323,1642,0,1008,1624
324,1624,0,1292,1632
325,1632,481,1524,1611
326,1609,1156,1613,1621
327,1619,1619,1610,1607
328,1609,1610,1610,1615
329,1615,1607,1597,1595
330,1589,1592,1584,1590
331,1593,1592,1548,1480
332,1498,0,1348,1595
333,1619,0,1433,1613
334,1609,102,1537,1613
335,1615,723,1600,1600
336,1595,1424,1588,1602
337,1599,1603,1600,1609
338,1598,1598,1589,1597
339,1602,1609,1602,1607
340,1602,1598,1588,1596
341,1595,1607,1596,1603
342,1592,1600,1582,1590
343,1596,1599,1595,1603
344,1600,1602,1588,1592
345,1589,1600,1596,1598
346,1600,1596,1589,1596
347,1590,1603,1595,1600
348,1597,1607,1585,1593
349,1583,1592,1596,1610
